placeID,Start Time,End Time,days
135111,12:00:00 AM,12:00:00 AM,Mon;Tue;Wed;Thu;Fri;
135111,12:00:00 AM,12:00:00 AM,Sat;
135111,12:00:00 AM,12:00:00 AM,Sun;
135110,8:00:00 AM,8:00:00 PM,Mon;Tue;Wed;Thu;Fri;
135110,12:00:00 AM,1:00:00 AM,Sat;
135110,12:00:00 AM,1:00:00 AM,Sun;
135109,8:00:00 AM,10:00:00 PM,Mon;Tue;Wed;Thu;Fri;
135109,8:00:00 AM,10:00:00 PM,Sat;
135109,8:00:00 AM,10:00:00 PM,Sun;
135108,12:00:00 AM,12:00:00 AM,Mon;Tue;Wed;Thu;Fri;
135108,12:00:00 AM,12:00:00 AM,Sat;
135108,12:00:00 AM,12:00:00 AM,Sun;
135107,7:00:00 AM,12:00:00 AM,Mon;Tue;Wed;Thu;Fri;
135107,7:00:00 AM,12:00:00 AM,Sat;
135107,7:00:00 AM,12:00:00 AM,Sun;
135106,6:00:00 PM,12:00:00 AM,Mon;Tue;Wed;Thu;Fri;
135106,6:00:00 PM,12:00:00 AM,Sat;
135106,6:00:00 PM,10:00:00 PM,Sun;
135105,12:00:00 AM,12:00:00 AM,Mon;Tue;Wed;Thu;Fri;
135105,8:00:00 PM,12:00:00 AM,Sat;
135105,12:00:00 AM,12:00:00 AM,Sun;
135104,12:00:00 AM,12:00:00 AM,Mon;Tue;Wed;Thu;Fri;
135104,12:00:00 AM,12:00:00 AM,Sat;
135104,12:00:00 AM,12:00:00 AM,Sun;
135103,12:00:00 PM,11:00:00 PM,Mon;Tue;Wed;Thu;Fri;
135103,12:00:00 PM,12:00:00 AM,Sat;
135103,12:00:00 PM,11:00:00 PM,Sun;
135102,9:00:00 AM,12:00:00 AM,Mon;Tue;Wed;Thu;Fri;
135102,9:00:00 AM,2:00:00 AM,Sat;
135102,9:00:00 AM,11:00:00 PM,Sun;
135101,1:00:00 PM,9:00:00 AM,Mon;Tue;Wed;Thu;Fri;
135101,1:00:00 PM,9:00:00 AM,Sat;
135101,1:00:00 PM,9:00:00 AM,Sun;
135100,2:00:00 PM,12:00:00 AM,Mon;Tue;Wed;Thu;Fri;
135100,2:00:00 PM,12:00:00 AM,Sat;
135100,2:00:00 PM,12:00:00 AM,Sun;
135099,1:00:00 PM,12:00:00 AM,Mon;Tue;Wed;Thu;Fri;
135099,1:00:00 PM,1:00:00 AM,Sat;
135099,1:00:00 PM,11:00:00 PM,Sun;
